PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Rivera,61,HAB,Departamental,1801,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,61,HAB,Departamental,2424,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,62,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,62,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,62,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,63,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,63,HAB,Departamental,1801,2,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,64,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,64,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,64,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,65,HAB,Departamental,88,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,65,HAB,Departamental,137,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,65,HAB,Departamental,1801,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,65,HAB,Departamental,2424,1,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,66,HAB,Departamental,88,3,Rivera Chico - Saavedra - Cerro del Marco
Cabildo Abierto,Rivera,66,HAB,Departamental,137,4,Rivera Chico - Saavedra - Cerro del Marco
