PARTIDO,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS,ZONA
Cabildo Abierto,Paysandú,106,KCA,Departamental,271,1,Zona Industrial
Cabildo Abierto,Paysandú,106,KCA,Departamental,1825,1,Zona Industrial
Cabildo Abierto,Paysandú,108,KCA,Departamental,710,4,Zona Industrial
Cabildo Abierto,Paysandú,109,KCA,Departamental,710,4,Zona Industrial
Cabildo Abierto,Paysandú,112,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,112,KCB,Departamental,1510,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,113,KCB,Departamental,271,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,113,KCB,Departamental,1825,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,114,KCB,Departamental,271,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,114,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,114,KCB,Departamental,1510,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,114,KCB,Departamental,1825,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,115,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,115,KCB,Departamental,1510,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,116,KCB,Departamental,1825,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,117,KCB,Departamental,1825,3,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,118,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,118,KCB,Departamental,1825,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,119,KCB,Departamental,271,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,119,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,119,KCB,Departamental,1510,3,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,120,KCB,Departamental,710,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,120,KCB,Departamental,1510,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,120,KCB,Departamental,1825,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,121,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,121,KCB,Departamental,1825,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,122,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,123,KCB,Departamental,710,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,123,KCB,Departamental,1825,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,124,KCB,Departamental,271,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,124,KCB,Departamental,1825,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,125,KCB,Departamental,1510,1,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,125,KCB,Departamental,1825,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,126,KCB,Departamental,710,2,Zona Suroeste - Parkway Sacra
Cabildo Abierto,Paysandú,126,KCB,Departamental,1825,2,Zona Suroeste - Parkway Sacra
